"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"39948.7894111";"发动机转速";"626";"rpm";"31.2457728";"121.3884051";
"39948.7894111";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39948.9255071";"冷却液温度";"50";"℃";"31.2457728";"121.3884051";
"39949.0665031";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39949.207024";"发动机转速";"612";"rpm";"31.2457728";"121.3884051";
"39949.207024";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39949.3296714";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39949.3296714";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39949.3296714";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39949.3296714";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39949.3296714";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39949.3296714";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39949.4214195";"发动机转速";"605";"rpm";"31.2457728";"121.3884051";
"39949.4214195";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39949.5413429";"冷却液温度";"50";"℃";"31.2457728";"121.3884051";
"39949.682681";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39949.682681";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39949.682681";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39949.682681";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39949.682681";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39949.682681";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39949.8862545";"发动机转速";"608";"rpm";"31.2457728";"121.3884051";
"39949.8862545";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39950.0063875";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39950.0063875";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39950.0063875";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39950.0063875";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39950.0063875";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39950.0063875";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39950.1212108";"发动机转速";"605";"rpm";"31.2457728";"121.3884051";
"39950.1212108";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39950.1854923";"冷却液温度";"50";"℃";"31.2457728";"121.3884051";
"39950.2419445";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39950.2419445";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39950.2419445";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39950.2419445";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39950.2419445";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39950.2419445";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39950.2419445";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39950.3619231";"发动机转速";"608";"rpm";"31.2457728";"121.3884051";
"39950.3619231";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39950.4224089";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39950.4224089";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39950.4224089";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39950.4224089";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39950.4224089";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39950.4224089";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39950.4224089";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39950.529195";"发动机转速";"611";"rpm";"31.2457728";"121.3884051";
