"SECONDS";"PID";"VALUE";"UNITS";
"46329.4152925";"车辆加速";"0.0022312912729911885";"g";
"46329.4152925";"车速";"34";"km/h";
"46329.4152925";"发动机转速";"1083";"rpm";
"46329.4152925";"发动机转速 x1000";"1.1";"rpm";
"46329.4152925";"计算的瞬时燃油率";"1.547039758723167";"L/h";
"46329.4152925";"瞬时引擎功率(根据燃油消耗)";"6.05232569837273";"hp";
"46329.4152925";"MAF空气流量";"4.59";"g/sec";
"46329.4152925";"Power from MAF";"5.508";"hp";
"46329.698747";"节气门位置";"20";"%";
"46329.698747";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46329.698747";"指令空燃比";"14.63156736";"";
"46329.7950813";"车辆加速";"0.0026043780873562295";"g";
"46329.7950813";"车速";"31";"km/h";
"46329.7950813";"发动机转速";"922";"rpm";
"46329.7950813";"发动机转速 x1000";"0.9";"rpm";
"46329.7950813";"计算的瞬时燃油率";"1.776230834089562";"L/h";
"46329.7950813";"平均速度";"31";"km/h";
"46329.7950813";"平均油耗";"5.95565835286117";"L/100km";
"46329.7950813";"平均油耗 (今天)";"10.750831894718406";"L/100km";
"46329.7950813";"平均油耗 (周)";"24.897888983811004";"L/100km";
"46329.7950813";"平均油耗 10 sec";"11.294643965543395";"L/100km";
"46329.7950813";"平均油耗（总计）";"24.897888983811004";"L/100km";
"46329.7950813";"燃料花费";"0.00019693360388458968";"$";
"46329.7950813";"燃料花费 (今天)";"0.004339969999999999";"$";
"46329.7950813";"燃料花费 (周)";"0.40061953";"$";
"46329.7950813";"燃料花费（总计）";"0.40061953";"$";
"46329.7950813";"瞬时引擎功率(根据燃油消耗)";"6.948966542576097";"hp";
"46329.7950813";"瞬时油耗（升/100公里）";"4.990450834590861";"L/100km";
"46329.7950813";"行驶距离";"0.003273924638888889";"km";
"46329.7950813";"行驶距离 (今天)";"0.039969";"km";
"46329.7950813";"行驶距离 (周)";"1.593119";"km";
"46329.7950813";"行驶距离（总计）";"1.593119";"km";
